run_id,datetime,standard_name,dD_measured,dD_known,d18O_measured,d18O_known,dD_mad,d18O_mad,n_points
1,2022-12-13,UNM Greenland,-283.651733630413,-273.5,-37.16199089062902,-35.5,2.692811149810751,0.900321802595279,687
2,2022-12-14,UNM South Pole,-362.5079724271965,-355.4,-49.0306,-45.7,2.768770698385822,0.718244454912977,686
4,2022-12-15,USGS47,-169.4747769605771,-150.2,-18.742180352512875,-19.8,3.674358301908711,0.8224503392601292,535
6,2023-01-09,UNM Greenland,-277.50916037267206,-273.5,-38.29003832238958,-35.5,3.159789917455896,0.8177157648404609,776
7,2023-01-10,UNM Greenland,-278.17168127293917,-273.5,-39.62936861115752,-35.5,3.32181835966702,0.857278129036743,776
8,2023-01-11,UNM Greenland,-276.16643905125045,-273.5,-39.233835080708005,-35.5,3.0974601314351276,0.9190946700387315,777
10,2023-01-18,UNM South Pole,-350.8304884670181,-355.4,-47.716170792281915,-45.7,3.30259904360463,0.9288892534640638,777
13,2023-02-06,UNM South Pole,-357.6400941863004,-355.4,-51.27527825509183,-45.7,3.026548187703952,0.7868546353300587,777
15,2023-02-13,UNM Greenland,-276.32376834205877,-273.5,-38.865071073532874,-35.5,3.0639753452849163,0.8067370029056917,777
16,2023-02-14,UNM Greenland,-275.712,-273.5,-36.1026228935197,-35.5,2.999503348188682,1.0181936190899208,776
17,2023-02-15,UNM Greenland,-275.5173717199875,-273.5,-36.680234113683156,-35.5,2.8720206035987985,0.9438801266080645,777
18,2023-02-16,UNM Greenland,-277.9778487004168,-273.5,-42.05355999289362,-35.5,3.791221795055577,0.8525372426905982,777
19,2023-03-03,UNM Greenland,-277.39000091267707,-273.5,-39.37453107775531,-35.5,2.955442220685427,0.7731125738185796,776
23,2023-03-15,UNM South Pole,-350.5989608315731,-355.4,-48.801866369733446,-45.7,2.919205393426438,0.758862427003276,777
24,2023-03-29,USGS47,-160.36398856633053,-150.2,-25.85790251612543,-19.8,3.832415623246618,0.8727524146012975,507
33,2023-04-05,USGS46,-241.01963735749905,-235.8,-36.17886710417389,-29.8,2.609159460888506,0.7377221762375186,417
36,2023-04-26,W-64444,-398.4562015324836,-399.1,-55.988102149877065,-51.4,3.2290863260288916,0.9577858812807207,687
