start,end,duration_min,duration_h,type
2022-12-13 20:54:00,2022-12-13 21:26:00,33,0.55,calibration
2022-12-13 21:57:00,2022-12-14 00:50:00,174,2.9,calibration
2022-12-14 19:57:00,2022-12-14 22:24:00,148,2.47,calibration
2022-12-15 17:29:00,2022-12-15 18:06:00,38,0.63,calibration
2022-12-15 18:35:00,2022-12-15 20:38:00,124,2.07,calibration
2022-12-16 17:57:00,2022-12-16 20:27:00,151,2.52,outage
2023-01-09 21:07:00,2023-01-09 23:49:00,163,2.72,calibration
2023-01-10 18:23:00,2023-01-10 21:05:00,163,2.72,calibration
2023-01-11 15:39:00,2023-01-11 18:21:00,163,2.72,calibration
2023-01-11 21:31:00,2023-01-11 22:58:00,88,1.47,calibration
2023-01-18 00:01:00,2023-01-18 02:43:00,163,2.72,calibration
2023-01-18 02:50:00,2023-01-18 04:17:00,88,1.47,calibration
2023-02-06 19:06:00,2023-02-06 20:33:00,88,1.47,calibration
2023-02-06 21:13:00,2023-02-06 23:55:00,163,2.72,calibration
2023-02-13 17:54:00,2023-02-13 19:21:00,88,1.47,calibration
2023-02-13 20:44:00,2023-02-13 23:26:00,163,2.72,calibration
2023-02-14 18:00:00,2023-02-14 20:42:00,163,2.72,calibration
2023-02-15 15:16:00,2023-02-15 17:58:00,163,2.72,calibration
2023-02-16 12:32:00,2023-02-16 15:14:00,163,2.72,calibration
2023-03-03 18:02:00,2023-03-03 22:14:00,253,4.22,calibration
2023-03-04 16:49:00,2023-03-04 18:15:00,87,1.45,outage
2023-03-15 16:48:00,2023-03-15 20:59:00,252,4.2,calibration
2023-03-21 15:53:00,2023-03-21 15:53:00,1,0.02,outage
2023-03-21 17:40:00,2023-03-21 17:42:00,3,0.05,outage
2023-03-29 19:40:00,2023-03-29 21:37:00,118,1.97,calibration
2023-03-29 22:25:00,2023-03-30 00:07:00,103,1.72,calibration
2023-03-30 18:41:00,2023-03-30 20:23:00,103,1.72,outage
2023-03-31 14:57:00,2023-03-31 16:39:00,103,1.72,outage
2023-04-01 11:13:00,2023-04-01 12:55:00,103,1.72,outage
2023-04-02 07:29:00,2023-04-02 09:11:00,103,1.72,outage
2023-04-03 03:45:00,2023-04-03 05:27:00,103,1.72,outage
2023-04-04 00:01:00,2023-04-04 01:43:00,103,1.72,outage
2023-04-04 20:17:00,2023-04-04 20:58:00,42,0.7,outage
2023-04-05 16:32:00,2023-04-05 18:13:00,102,1.7,calibration
2023-04-05 18:24:00,2023-04-05 20:06:00,103,1.72,calibration
2023-04-26 18:42:00,2023-04-26 20:24:00,103,1.72,calibration
2023-04-26 20:40:00,2023-04-26 23:07:00,148,2.47,calibration
2023-04-27 20:20:00,2023-04-28 18:02:00,1303,21.72,outage
2023-04-28 21:15:00,2023-04-29 18:02:00,1248,20.8,outage
2023-04-29 22:49:00,2023-04-30 18:02:00,1154,19.23,outage
2023-05-01 20:44:00,2023-05-02 18:03:00,1280,21.33,outage
2023-05-02 22:24:00,2023-05-03 18:03:00,1180,19.67,outage
2023-05-03 23:46:00,2023-05-04 18:03:00,1098,18.3,outage
2023-05-05 02:59:00,2023-05-05 18:03:00,905,15.08,outage
2023-05-06 02:10:00,2023-05-06 18:03:00,954,15.9,outage
2023-05-25 16:42:00,2023-05-25 19:09:00,148,2.47,outage
2023-05-28 17:09:00,2023-05-28 17:50:00,42,0.7,outage
2023-05-28 18:51:00,2023-05-28 21:03:00,133,2.22,outage
2023-05-29 15:37:00,2023-05-29 17:49:00,133,2.22,outage
2023-05-30 12:23:00,2023-05-30 14:35:00,133,2.22,outage
2023-05-31 09:09:00,2023-05-31 11:21:00,133,2.22,outage
2023-06-01 05:55:00,2023-06-01 08:07:00,133,2.22,outage
